page,year,date,locality,union_troops_engaged,union_killed,union_wounded,union_missing,confederate_killed,confederate_wounded,confederate_missing,remarks
,,April 25th,"Greenland Gap, West Virginia","Detachments of the 23d Illinois and 14th West Virginia Volunteers, commanded by Captain Wallace, 23d Illinois",2,4,60,,,100 kwm,Official Report of Brigadier General B. F. Kelley
73,,April 26th,"Cape Girardeau, Missouri","1st Wisconsin and 2d Missouri Militia Cavalry, 32d Iowa Volunteers, and Batteries D and L, 1st Missouri Light Artillery, commanded by Brigadier General John McNeil",6,6,,60,,275 wm,"Report of Adjutant General of Iowa, 1865, p. 302"
,,April 27th,"Franklin, Tennessee","Cavalry, commanded by Colonel Watkins",,,,,,,
,,April 27th to May 3d,"Streight’s raid from Tuscumbia, Alabama, to Rome, Georgia","3d Ohio, 5lst and 73d Indiana Volunteers, 80th Illinois Mounted Infantry, and two companies of the 1st Alabama  Cavalry, commanded by Colonel A. D. Streight, 51st Indiana Volunteers",12,69,1466,,,,"Official reports, Union and Confederate. Includes skirmishes at Day’s Gap, April 30th, Black Warrior  Creek, May 1st, and Blount’s Farm, May 2d"
,,April 27th to May 8th,"Stoneman’s Raid, Virginia","Cavalry Corps, Army of the Potomac, Major General Stoneman",,,,,,,"Averill’s Division crossed the Rappahannock at Beverly Ford, advanced to the Rapidan, and re-turned. Buford’s and Gregg’s Divisions crossed at Kelly’s Ford and proceeded to Louisa Court House, where detachments were sent out; one under Colonel Wyndham to Columbia destroyed  a portion of the James Canal; one under Colonel Davis destroyed the Virginia Central Railroad from the South Anna River to Richmond ; one under Colonel Kilpatrick destroyed a portion of the Fredericksburg Railroad at Hungary, passed within two miles of Richmond, crossed the Chickahominy, and proceeded to Tappahannock, and finally reached the Union lines at Gloucester"
,,April 28th,"Howe’s Ford, Kentucky","1st Kentucky Cavalry, commanded by Captain F. N. Alexander",,,,,2,,Unofficial. Also designated Weaver’s Store
,,April 28th,"Dover Road, North Carolina","Troop of the District of North Carolina, commanded by Brigadier General Palmer",,,,,,,"Report of Adjutant General of Massachusetts, 1863, page 314"
,,April 28th,"Town Creek, Alabama","Portion of the Sixteenth Corps, commanded by Major General G. M. Dodge",,,,1,3,,"Official Report of General Bragg, C. S. A"
,,April 28th,"Union Church, Mississippi",6th Illinois Cavalry,,,,,,,"Skirmish during Grierson's raid through Mississippi , April 17th to May 2d"
,,April 29th,"Castor River and Bloomfield, Missouri","1st Wisconsin Cavalry, of Brigadier General John McNeil’s forces",1,5,2,,,,Official
,,April 29th,"Fairmont, West Virginia","Detachments of the 106th New York, 6th West Virginia, and Virginia Militia",1,6,,,,100 kwm,"Casualty List, S. G. O., File A, No. 618"
,,April 29th,"Grand Gulf, Mississippi","Gunboats Louisville. Carondelet. Mound City, Pitts-burg, Tuscumbia, Benton, and Lafayette",26,54,,,,,"Official Report of Admiral Porter, commanding"
,,April 29th and 30th,"Fitzhugh’s Crossing. Rappahannock River, Virginia","First Corps, Army of the Potomac",,,,,,103,Reports of Adjutants General of Michigan and Indiana
,,April 30tlh and May 1st,"Chalk Bluff and St. Francois River, Missouri","3d Missouri and 1st Iowa Cavalry. 2d Missouri Militia, and Battery E. 1st Missouri Light Artillery, of Brigadier  General McNeil’s forces",2,11,4,,,,Official
,,April 30th,"Spottsylvania Court House, Virginia","6th New York Cavalry, commanded by Lieutenant Colonel Duncan McVicar",,,58 kwm,,,,
,,April 30th and May 1st,"Day’s Gap, Sand Mountain, and Black Warrior Creek, Alabama","2d Ohio and 80th Illinois, and 51st and 73d Indiana Mounted Infantry, and 1st Alabama Cavalry",3,20,,5,50,,"Official reports, Union and Confederate. Skirmishes  during Streight’s raid, April 27th to May 3d. Also designated Driver's Gap and Crooked Creek"
,,April 30th,Snyder’s Bluff. Mississippi,"Portion of the Fifteenth Corps, Major General Sherman",,,,,,,Official
74,,May 1st,"Port Gibson, Mississippi","Thirteenth Corps, Major General J. A. McClernand, and 3d division of the Seventeenth Corps, Major General J. B. McPherson, commanded by Major General U. S. Grant",130,718,5,,1150,500,"Casualty List, S. G. O. Appendix to Part I. Medical and Surgical History of the War. page 331. Official reports. Brigadier General R. D. 'I racy, C. S. A., was killed. The first engagement in Grant's campaign against Vicksburg. Also designated Thompson’s Hill and Magnolia Hills, and includes the skirmishes at Bayou Pierre"
,,May 1st to 4th,"Chancellorsville, Virginia","First Corps, Major General J. F. Reynolds; Second Corps, Major General D. N. C\buch; Third Corps, Major General I). E. Sickles; Fifth Corps, Major General G. G. Meade; Sixth Corps, Major General J. Sedgwick; Eleventh Corps, Major General O. O. Howard; Twelfth Corps, Major General H. W. Slocum. —Army of the Potomao, commanded by Major General Joseph Hooker. ",1312,9518,5000,1581,8700,2000,"Official reports. Union and Confederate. Appendix  to Part I. Medical and Surgical History of the War, page 135. List of casualties, S. G. O. Includes the buttles of the Sixth Corps at Fredericksburg . Salem Heights, and Maryes Heights. Among the casualties in the Union army were Major General Hiram G. Berry and Brigadier Gen. A. W. Whipple, killed, and Brigadier Generals  Devan and Kirby, wounded; in the Confederate  army, Brigadier General A. F. Paxton, killed, and Lieutenant General J. S. Jackson. Major General A. P. Hill, and Brigadier Generals Hoke, Nichols. Ramseur, McGowan, Heth, and Tender, wounded"
,,May 1st,"La Grange, Arkansas","3d Iowa Cavalry, commanded by Captain J. Q. A. DeHuff",3,9,30,,,,"Report of Adjutant General of Iowa, 1864, p. 525"
,,May 1st,"Monticello, Kentucky","2d Tennessee, 1st Kentucky, and 2d and 7th Ohio Cavalry, and 45th Ohio and 112th Illinois Mounted In-fan try commanded by Brigadier General S. P. Carter",,,,2,9,3,"Official reports, Union and Confederate"
,,May 1st,"South Quay Bridge, Nansemond River, Virginia",99th New York Volunteers,,41 kw,,,,,Skirmish during the siege of Suffolk. April 12 to May 4
,,May 1st,"Tickfaw River, Mississippi",7th Illinois Cavalry,1,5,,8,,,"Skirmish during Grierson’s raid, April 17 to May 2"
,,May 1st,"Rapidan Station, Virginia","Averill's Cavalry Division, Army of the Potomac",,,,,,,"Skirmish during Stoneman’s raid, April 27 to May 8"
,,May 1st,"Louisa Court House, Virginia",Two companies of the 1st Maine Cavalry,2,,28,,4,,"Report of Adjutant General of Maine, 1863, p. 53. Detachment of Stoneman’s raiding forces"
,,May 2d,"Blount’s Farm, Alabama","51st and 13d Indiana and 80th Illinois Volunteers, 3d Ohio Mounted Infantry, and 1st Alabama Cavalry",,,,,,,"Skirmish during Streight’s raid, April 27 to May 3"
,,May 3d,"Warrenton Junction, Virginia",1st West Virginia and 5th New York Cavalry,1,16,,,15,23,Official
,,May 3d,"Nansemond River, Virginia",Major General John J. Peck’s troops,,,,,,,"Official. Skirmish during siege of Suffolk, Virginia"
,,May 3d,"Forty Hills, Mississippi","Seventh division, Seventeenth Corps",,,,,,,Official. Skirmish during Grant’s campaign against Vicksburg. Also designated Hankinson’s Ferry
,,May 4th,"Shannon Hill, Virginia",5th New York Cavalry,6,,15,,,,Official. Skirmish during Stoneman’s raid
,,May 4th,"Tunstall Station, Virginia",12th Illinois Cavalry,3,,,,,,Official. Skirmish on Stoneman’s raid in Virginia
,,May 4th,"Siege of Suffolk, Virginia, raised",Troops of the Depart’t of Virginia and North Carolina,,,,,,,Official Report of Major General John Peck
,,May 6th,"Tupelo, Mississippi",10th Missouri and 7th Kansas Cavalry,1,6,,,,90,Unofficial
,,May 10th,"Civiques Ferry, Louisiana","14th and 24th Maine and 177th Now York Volunteers, and 21st New York Battery",,,,,,,"Report of Adjutant General of Maine, 1863, p. 82"
75,,May 11th,"Horse Shoe Bend, Kentucky",Detachments of Union troops commanded by Colonel R. T. Jacobs,10,20,40,,,100 kwm,"Report of Adjutant General of Michigan, 1863, page 99. Also designated Greasy Creek"
,,May 11th,"Mount Vernon, Arkansas","5th Kansas and 5th Illinois Cavalry, commanded by Colonel Powell Clayton",1,14,,5,18,,Unofficial
,,May 12th,"Linden, Tennessee","6th Tennessee Cavalry, commanded by Colonel W. K. M. Breckenridge",,,,3,,46,"Official report of Commodore S. L. Phelps, U. S. N"
,,May 12th,"Fourteen-mile Creek, Mississippi","Thirteenth Corps. Major General J. A. McClernand, and Fifteenth Corps Major General W. T. Sherman, of Major General Grant’s army",4,24,,,,,Official. Skirmish during Grant’s campaign against Vicksburg
,,May 12th,"Raymond, Mississippi","Seventeenth Corps, Major General J. B. McPherson’s, of Major General Grant’s army",69,341,32,,,969 kwm,"Appendix to Part I, Medical and Surgical History of the War, page 331. Casualty List. S. G. O. Official Report. Engagement during Major General  Grant's campaign against Vicksburg. The Confederate General Tilghman was killed"
,,May 13th,"Ponchatoula, Louisiana",Colonel Davis’s command,,,,,,,
,,May 13th,"Hall’s Ferry, Mississippi",2d Illinois Cavalry,,,,12,,30,Cavalry advance of McClernand’s Corps in Grant’s campaign against Vicksburg. Official
,,May 13th,"South Union, Kentucky",,,,,,,,
,,May 14th,"Jackson, Mississippi","Seventeenth Corps, Major General J. B. McPherson, and Fifteenth Corps. Major General W. T. Sherman, of Major General Grant’s army",40,240,6,,,450 kwm,"Official Reports, Union and Confederate. Casualty List, S. G. O. Appendix to Part I, Medical and Surgical History of the War, page 331. Engagement  during Grant’s campaign against Vicksburg"
,,May 14th,"Warrenton Junction, Virginia",,,3,,,,,
,,May 15th,"Camp Moore, Louisiana",Expedition commanded by Colonel Davis,,,,,,,
,,"May 15th, and 16th","Carsville and Suffolk, Virginia",Expedition commanded by Brigadier General R. S. Foster,,,,,,,"Casualty List, File A No. 554, S. G. O. Also designated Holland House"
,,May 16th,"Carthage, Missouri",7th Missouri Militia Cavalry,3,1,,,,,Official
,,May 16th,"Piedmont Station, Virginia",West Virginia and Pennsylvania Cavalry,2,,,2,,40,
,,May 16th,"Cripple Creek, Tennessee","Detachment of the 5th Tennessee Cavalry, escort to Brigadier General Palmer",,,,,,18,Also designated Bradysville
,,May 16th,"Champion Hills, Mississippi","Hovey’s Division. Thirteenth Corps, Major General J. McClernand, and Seventeenth Corps, Major General J. B. McPherson",426,1842,189,,2500 kw,1800,"Official Reports of Major General Grant, commanding Union troops, and Lieutenant General Pemberton, commanding Confederate forces. Appendix  to Part I. Medical and Surgical History of the War, page 331. Casualty List, S. G. O. Engagement during the campaign against Vicksburg. Also designated Baker's Creek and Edward’s Station"
,,May 16th,"Berry’s Ferry, Virginia","Detachment of the 1st New York Cavalry, commanded by Lieutenant Vermillion",,,,2,5,10,Unofficial
,,May 17th,"Big Block River, Mississippi","Carr’s and Osterhaus’s divisions of Thirteenth Corps, Major General J. B. McClernand, —Army of the Tennessee, Major General Grant",29,242,2,,600 kw,2500,"Official Reports of Major General Grant, commanding  Union forces, and Lieutenant General Pemberton , commanding Confederates. Casualty List, S. G. O. Appendix to Part I, Medical and Surgical History of the War, page 331. Engagement  during G rant’s campaign against Vicksburg"
,,May 17th to 20th,"Fayetteville, Virginia",12th and 91st Ohio Volunteers and 2d West Virginia Cavalry,2,9,8,,,,"Ohio in the War, Vol. 2, page 90"
,,May 18th,"Sherwood, Missouri",Detachments of the 2d Kansas Artillery and 1st Kansas (79th U. S Colored Troops) Volunteers,19,2,4,,,,Official Report of Major R. G. Ward
76,,May 18th,"Attack, by guerrillas, on the transport Crescent City, near Island No. 82",3d Iowa Volunteers,,14,,,,,"Report of the Adjutant General of Iowa, 1864, p. 424"
,,May 18th,Carsville. Virginia,170th New York Volunteers fired into by their comrades,3,4,,,,,Unofficial
,,May 18th to July 4th,"Siege of Vicksburg, Mississippi","Thirteenth Corps, Major General J. A. McClernand, Fifteenth Corps, Major General W. T. Sherman, and Seventeenth Corps, Major General J. B. McPherson, commanded by Major General Grant, U. S. A., assisted  by the navy on the Mississippi River, commanded  by Admiral Porter. After the assault, Lau-Ian's  division, Smith’s and Kimball's divisions of the Sixteenth Corps, two divisions of the Ninth Corps, Major General J. G. Parke, and a division from the Department of the Missouri, Major General F. J. Herron, were added to the besieging forces",545,3688,303,,,31277,"On May 19th, an unsuccessful assault on Fort Hill was made by Blair’s division of Sherman’s Corps. On the 20th, a general assault was made; Brig. General Green, C. S. A., was killed, and Brig. General Baldwin wounded. On June 25th a mine was exploded under the Fort Hill bastion, and a struggle followed in the breach. On the 28th, another breach wits made in the Fort Hill bastion, and another hand-to-hand conflict ensued. On July 4th, the Confederates surrendered. Official Reports of Major General Grant, commanding Union forces, and Lieutenant General Pemberton, commanding Confederate forces. List of casualties , S. G. O. Appendix to Part I. Medical and Surgical History of the War, page 331"
,,May 19th,"Winchester, Virginia",Detachment of Cavalry from Milroy's command,,,,6,,7,Unofficial
,,May 19th,"Richfield, Clay County, Missouri",25th Missouri Volunteers,2,1,40,,,,Official
,,May 20th,"Fort Gibson and Fort Blunt, Indian Territory ","6th Kansas and 3d Wisconsin Cavalry, and 1st, 2d, and 3d Kansas Indian Home Guards",25,12,,,,,"Official Report of Colonel William A. Phillips, commanding"
,,May 20th,"Second assault on fortifications at Vicksburg, Mississippi",Army of Tennessee,,,,,,,"See siege of Vicksburg, May 18th"
,,May 20th to 28th,"Clendenin's raid below Fredericksburg, Virginia","8th Illinois Cavalry, commanded by Lieutenant Colonel D. R. Clendenin",,,,,,100,
,,May 21st,"Middleton, Tennessee","4th Michigan, 3d Indiana, 7th Pennsylvania, 3d and 4th Ohio, and 4th U. S. Cavalry, and 39th Indiana Mounted Infantry, commanded by Major General Stanley",,,,,6,80,"Official Report of Major General Halleck, U. S. A"
,,May 21st,"Plain Stores, Port Hudson Plains, La.","1st Division, Auger’s, Nineteenth Corps",19,80,50,,,,"Official Report of Major General Banks, commanding "
,,May 22d,"Gum Swamp, North Carolina","58th Pennsylvania and 5th, 25th, 27th, and 46th Massachusetts  Volunteers, and Bogg’s Battery, commanded by Colonel J. R. Jones, 58th Pennsylvania Vols",,,,,,165,"Official Report of Major General J. G. Foster, U. S. V"
,,May 23d,"Bachelor’s Creek, North Carolina","58th Pennsylvania and 46th Massachusetts Volunteers, commanded by Colonel J. R. Jones",,,,,,,Official
,,May 23d,"Beaver Dam Lake, near Austin, Miss.",Mississippi Marine Brigade of Cavalry and Infantry,3,12,2,,,,Official
,,May 25th,"Fishing Creek, Hartford, Kentucky",,,,,,,,"Rebellion Record, Vol. VI, page 77"
,,May 25th,"Polk’s Plantation, near Helena, Arkansas",3d Iowa and 5th Kansas Cavalry,10,14,24,,,,Official
,,May 25th,"Franklin, Louisiana","41st Massachusetts Volunteers and several other regiments , commanded by Colonel Chickering",,,,,,,"Report of Adjutant General of Massachusetts, 1863. page 893"
,,May 25th,"Senatobia, Mississippi","3d Illinois Cavalry, commanded by Colonel Lafayette McCrillis",,,,6,3,,
77,,May 27th,Lake Providence. Louisiana,47th U. S. Colored Troops,1,1,6,,,,Official
,,May 27th,"Florence, Alabama","Brigade of Cavalry, commanded by Colonel Cornyn, 10th Missouri Cavalry",,,,,,,Official
,,May 27th to July 9th,"Siege of Port Hudson, Louisiana","Major Generals Weitzel’s, Grover’s, Paine’s, Augur’s, aid Dwight’s Divisons of the Nineteenth Corps, — Major General Banks’ Army of the Gulf, assisted by by the navy under Admiral Farragut",500,2500,,100,700,6408,"Official Reports of Major General Banks, commanding the Union forces, and Major General Frank Gardner, commanding the Confederate forces. Port Hudson was invested on May 24th. On the 27th a general assault was made, and the Confederates driven under the shelter of their fortifications. A serious engagement occurred on June 11th, and another general but unsuccessful  assault was made on the 14th. On July 9th the Confederate garrison surrendered. Among the Union casualties were Brigadier Generals W. T. Sherman and H. A. Paine wounded. Appendix  to Part I, Medical and Surgical History of the War, page 335"
,,May 28th,"Bushy Creek, Missouri","13th Illinois Cavalry, commanded by Major L. Lippert",,,80 kwm,,,,Official. Also designated Little Black River
,,May 29th,"Mechanicsville, Mississippi","Portion of the Seventeenth Corps, commanded by-Major General F. P. Blair, U. S. V",,,,,,,"Report of Adjutant General of Iowa, 1865, p. 214"
,,May 30th,"Greenwich, Virginia","1st Vermont, 5th New York, and 7th Michigan Cavalry",,,,1,2,1,"Report of Adjutant General of Vermont, 1863, page 85"
,,June 1st,"Rocheport, Missouri",1st Missouri Enrolled Militia and 9th Missouri Militia Cavalry,1,2,1,5,10,,Official
,,June 4th,"Clinton, Louisiana","Cavalry, commanded by Colonel B. H. Grierson, 6th Illinois Cavalry",,,,,21 kw,,"Report of Adjutant General of Wisconsin, 1865, page 638"
,,June 4th,"Mechanicsburg and Sartoria, Mississippi","5th Illinois Cavalry and 8th Wisconsin Volunteers, portion of General Nathan Kimball’s command",,,,,,40,"Report of Adjutant General of Illinois, Vol. III, page 54"
,,June 4th,"Frying Pan, Virginia","Detachment of the 5th Michigan Cavalry, commanded by Captain Gray",3,7,7,,,,Official
,,June 4th,"Franklin, Tennessee","85th Indiana Volunteers and 7th Kentucky Cavalry, commanded by Colonel J. P. Baird, 85th Indiana Volunteers, and the 4th and 6th Kentucky, 9th Pennsylvania, and 2d Michigan Cavalry, 1st Brigade General Granger's Cavalry Division",,,25 kwm,,,200 kwm,"Report of Adjutant General of Michigan, 1863, page 26"
,,June 4th,"Bluffton, South Carolina",,,,,,,,Official
